Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
? Goethe - Amor,"""Goethe, Johann Wolfgang von""",Amor,,,,,1766,,1700-1770,,4.10,,,,,,,
Abel - Fluch eines Eifersüchtigen,"""Abel, Jakob Friedrich""",Fluch eines Eifersüchtigen,,,,,,,1770-1830,,4.85,,,,,0,,
Abraham a Sancta Clara - Hier sind wir arme Narren,Abraham a Sancta Clara,Hier sind wir arme Narren,"Narren-Meß,Wunderhorn (1805/08)",DKW Hier sind wir arme Narren,,,,,1600-1700,,4.17,,,,,http://www.zeno.org/nid/20004464052,,
"Abschatz - Abschied, ach du herbes Wort","""Abschatz, Hans Assmann von""","Abschied, ach du herbes Wort",,,,,,,1600-1700,,6.23,,,,,http://www.zeno.org/nid/20004393333,,
Abschatz - Amaranthens braune Wangen,"""Abschatz, Hans Assmann von""",Amaranthens braune Wangen,,,,,,,1600-1700,,6.29,,,,,http://www.zeno.org/nid/20004393104,,
Abschatz - Auf ihren Namens-Tag 2,"""Abschatz, Hans Assmann von""",Auf ihren Namens-Tag 2,,,,,,,1600-1700,,6.51,,,,,,,
Abschatz - Cartell auf ein Piquet-Spiel,"""Abschatz, Hans Assmann von""",Cartell auf ein Piquet-Spiel,,,,,,,1600-1700,,8.27,,,,,http://www.zeno.org/nid/2000439318X,,
Abschatz - Der bestohlne Cupido,"""Abschatz, Hans Assmann von""",Der bestohlne Cupido,,,,,,,1600-1700,,4.113,,,,,http://www.zeno.org/nid/2000439304X,,
Abschatz - Der Einsame und Verliebte,"""Abschatz, Hans Assmann von""",Der Einsame und Verliebte,,,,,,,1600-1700,,4.107,,,,,http://www.zeno.org/nid/20004393635,,
Abschatz - Der Verliebte und Betrübte,"""Abschatz, Hans Assmann von""",Der Verliebte und Betrübte,,,,,,,1600-1700,,4.107,,,,,http://www.zeno.org/nid/20004393643,,
Abschatz - Die kranke Phillis,"""Abschatz, Hans Assmann von""",Die kranke Phillis,,,,,,,1600-1700,,4.117,,,,,http://www.zeno.org/nid/20004392949,,
Abschatz - Die Kuß-Scheue,"""Abschatz, Hans Assmann von""",Die Kuß-Scheue,,,,,,,1600-1700,,4.20,,,,,http://www.zeno.org/nid/20004392728,,
