Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
2.1,,,jambisch,[2 2],m m,- + - + || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - +<br>- + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),122,02 Zweizeiler,,,,,,,,,,,,
2.2,,,jambisch,[3 3],w w,- + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -</p>",a a,(altdeutsches) Kirchen-/Volkslied,116,02 Zweizeiler,,,,,,,,,,,,
2.3,,,trochäisch,[4 4],m m,+ - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),101,02 Zweizeiler,,,,,,,,,,,,
2.4,,,trochäisch,[4 4],w w,+ - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -</p>",a a,jüngere Prägung (keine spezifische Herkunft),108,02 Zweizeiler,,,,,,,,,,,,
2.5,,,jambisch,[4 4],m m,- + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +</p>",a a,"(altdeutsches) Kirchen-/Volkslied,lateinische Hymnendichtung",18,02 Zweizeiler,31,1,4,5,12,15,7,,,,18,15
2.6,,,daktylisch mit Auftakt,[4 4],m m,- + - - + - - + - - + || - + - - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + - - +<br>- + - - + - - + - - +</p>",a a,(altdeutsches) Kirchen-/Volkslied,81,02 Zweizeiler,,,,,,,,,,,,
2.7,,,trochäisch,[5 5],m m,+ - + - + - + - + || + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - +<br>+ - + - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),91,02 Zweizeiler,0,0,0,0,0,5,,,,,,
2.8,,,trochäisch,[5 5],w w,+ - + - + - + - + - || + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - + -<br>+ - + - + - + - + -</p>",a a,jüngere Prägung (keine spezifische Herkunft),77,02 Zweizeiler,0,0,0,0,2,6,,,,,,
2.9,,,jambisch,[5 5],m m,- + - + - + - + - + || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),55,02 Zweizeiler,1,0,1,0,6,6,,,,,,
2.10,,Endecasillabo,jambisch,[5 5],w w,- + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a a,(altdeutsches) Kirchen-/Volkslied,80,02 Zweizeiler,1,2,1,0,2,4,,,,,,
